Uid,NickName,username,country,골드 수량,선물 수량,선물을 보낸 유저 수,선물 보낸 유저들 정보
"6491092209696768","noonchutie","noonchutie","TH","33","3","1","5681632775110656"
"6730549089075200","반서지","banseozi","KR","66","6","4","5426591845384192, 5581473156825088, 5638509838467072, 4921927486275584"
"6464055508533248","나비","3.0st_","TH","66","6","5","5641631221743616, 5228202205446144, 6096585081290752, 4694668731023360, 5322308351557632"
"5554363740520448","香兒的歪壞（shine)","shine00302","TW","22","2","1","6360978324520960"
"4707867975090176","일탈 H-cup🍼유부녀","hbbxx_0727","KR","22","2","1","6057000115699712"
"5118242075836416","엘라(ella)","ellaworld","KR","22","2","1","6241351236648960"
"5617104948101120","良良Elaine","y61126","TW","11","1","1","5460124421128192"
"6114848568836096","Grace☺葛瑞絲","gemini_0615","TW","11","1","1","5460124421128192"
"6721724650946560","쏘블리 AI 💕","leeesovely.AI","KR","11","1","1","4856787784237056"
"6204715121377280","연주","u_yeonjju","KR","11","1","1","6457903536275456"
"4640553234726912","Ivy_아이비","ivy999","KR","11","1","1","4964799286673408"
"6035749852741632","우주","pigrabbit","KR","11","1","1","6360978324520960"
"5413005284999168","꿍 💋","d161211","KR","11","1","1","5758769982996480"
"5617624861704192","Xiao🐱","loved_0311","TW","11","1","1","5539076951048192"
"6502535437287424","정제니","jen2jen2_","KR","11","1","1","6050488953929728"
"4528653823967232","유부니","wszwsz23","KR","22","2","2","5664055488217088, 4517453310787584"
"5343687623376896","구우리(o0ori)","go0ori","KR","11","1","1","5680493346160640"
"4773434252722176","lRsZbxRM4","lRsZbxRM4","KR","11","1","1","5790183841464320"
"5537911323820032","jjay","jjayhowcute","TH","11","1","1","4980069516247040"
"5903416177262592","SERINA🐱💗","necoserina","JP","11","1","1","6236782914764800"
"6492562075484160","恩んnn🫧🩵 응응🇹🇼","mido_0216","TW","11","1","1","6017961023569920"
"5870941753901056",".","Binewnew","KR","11","1","1","5284232320319488"
"6123605173010432","아린 AI 🍑","ahrin2.AI","KR","22","2","2","6177910181134336, 6089564468871168"
"6608787984154624","9","jyeah_s","KR","11","1","1","6385645907148800"
"4888395996004352","JazManabat","JazManabat","PH","11","1","1","6610927688155136"
"4568789365882880","Nuna","kxbatx","KR","11","1","1","4702219271208960"
"6491165539762176","eluvkitty","aradaeyeee","TH","11","1","1","4690544697344000"
"4540764580282368","Anna","annalove99","KR","11","1","1","4780859201552384"
"6478832675651584","Ellena 💋","ellena_ling33","MY","11","1","1","5134628109746176"
"6634035169525760","정명희","alex.jung","KR","11","1","1","5445631375900672"
"6456131054338048","Anna🍑안나","angna98","JP","11","1","1","4706772231651328"
"6680201381347328","빛나","eWUspqYsp6","KR","11","1","1","5346181168103424"
"6001870024540160","7puxt.imy","7puxt.imy","TH","11","1","1","5659296776650752"
"5941859422437376","이린","2lyn_98","KR","11","1","1","6000249764970496"
"6558486065119232","Realmilf 밀키율","Milkyul","KR","22","2","2","6057000115699712, 6566968558485504"
"5465144296275968","🐈‍⬛","nyanya","KR","11","1","1","6057000115699712"
"6481390469971968","伊娃Evaaaa💛","lerca_eva","TW","11","1","1","6221823634898944"
"6647310955380736","Vivian","vn_hello","TW","11","1","1","6373477827018752"
"5450394137067520","おにぎり🍙","onigiri43","JP","11","1","1","6320505135890432"
"6357268465254400","연나초","yeonnacho","KR","11","1","1","4552080678060032"
"6174643045335040","또영🎀","agary10","KR","11","1","1","5007208752218112"
"5216083121078272","천혜향 🏵","hyangnuna","KR","11","1","1","5007208752218112"
"5364820230406144","박청초","erty7946","KR","11","1","1","5080500430503936"
"6137030863552512","🐰유찌🐰","yuhwa.__kong","KR","11","1","1","5554621050847232"
"6493539131850752","젤리 Jelly","jelly05","KR","11","1","1","5622393688948736"
"5728048076619776","STellAR🌟","STellAR_9.4","KR","11","1","1","5720958612340736"
"5496063125159936","369꽃님이 🌸","369_flower","KR","11","1","1","5766247303938048"
"6215926914809856","💉","eu0602","KR","11","1","1","6065082095960064"
